Supplier ID;Product / product type;Description;Supplier;Adress_1;Adress_2;BTW number;Contact Sales;Tel. Sales;E-mail Sales;Contact Engin.;Tel. Engin.;E-mail Engineering;Website;Tel. Info;E-Mail info;Remarks;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_036;Welding;Welding - Welding machines;Lastek;Toekomstlaan 50;B-2200 Herentals;BE 0453 518 847;Jamie Schots;+32 485 63 10 95;Jamie.Schots@lastek.be;;;;www.lastek.be;;info@lastek.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_037;Glass;Glass - Panels & other;Lauryssens;;;;;+32 14 25 77 80;;;;;www.lauryssens.be;;info@lauryssens.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_038;Lighting;Lighting - Led lines;Ledlab;Krekelput 13;B-9700 Oudenaarde;BE 0421 297 328;Tijs Ryngaert;+32 475 90 03 46;Tijs@ledlab.be;;;;www.ledlab.be;;info@ledlab.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_039;Plastic processing;Plastic processing - CNC turning & milling;Lima-Lier;Plaslaar 40a;B-2500 Lier;BE 0438 298 260;Kris Peeters;+32 3 491 00 00;;;;;www.lima-lier.be;;info@lima-lier.be;Vooral gebruikt voor kunststof frees en draaiwerk;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_040;Steel;Steel - other;LM Hekwerk;;;;;+32 11 55 44 99;;;;;www.lmhekwerk.be;;info@lmhekwerk.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_041;Door accessories;Door accessories - Rollers & other;Locinox;Brabantstraat 107;B-8790 Waregem;BE 0433 541 104;Bianca De Witte;+32 56 28 04 80;Bianca@locinox.be;;;;;;;Sales Manager Edward Vandermoortele Edward.Vandemoortele@locinox.be +32 476 90 23 20;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_042;Fasteners;Fasteners - All;Mapeco;Essensteenweg 44;B-2920 Kalmthout;BE 0429 086 527;Kevin;+32 476 96 45 53;kevin@mapeco.be;;;;www.mapeco.be;;;Bouten, moeren, rondellen, tappers, …;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_043;Wood;Wood - planks & beams;Martens Hout nv;Hoogmolendijk 4;B-2900 Schoten;BE 0403 730 628;Farid aarab;+32 3 658 14 84;Farid@martenshout.be;;;;www.martenshout.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_044;Metal processing;Metal processing - Bending Sheetmetal;Meeuwsen bv;Kreeft 4;NL-4401 NZ Yerseke;NL 8570 82 383 B01;Boy Simons;+31 1 13 57 38 78;laser@metalservices.nl;;;;www.metalservices.nl;;verkoop@metalservices.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_045;Welding;Welding - Welding machines;Metalas;Slachthuislaan 21;B-2060 Antwerpen;BE 0420 799 361;Peter Vandevelde;+32 3 235 77 17;peter@metalas.be;;;;www.metalas.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_046;Clothing;Clothing - Work-clothes;Mireille;Pastoor Paquaylaan 186;B-3550 Heusden-Zolder;BE 0415 148 815;;+32 11 57 11 22;Sales@mireille.be;;;;www.mireille.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_047;Plastic processing;Plastic processing - CNC turning & milling & Waterjet;Narviflex nv;Liesdonk 7;B-2440 Geel;BE 0454 005 332;Kathleen Bruyninx;+32 14 59 11 31;kathleen.bruyninx@narviflex.be;;;;www.narviflex.eu;;info@narviflex.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_048;Steeldeck;Steeldeck;O-Metall;;;;Isabelle Paquay;+35 2 99 3 23 21;paquay@o-metall.com;;;;www.o-metall.com;;;Steeldeck - GEEN AANKOOP O-METALL MEER;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_049;Surface treatment;Surface treatment - other;Overbroekse verfcentrale;Bosstraat 1;B-2960 Brecht;BE 0478 150 711;Kris Van Looveren;+32 3 663 22 00;info@overbroekseverfcentrale.be;;;;www.overbroekseverfcentrale.be;;;Lakstiften met veel keuze, ook op maat;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_050;Surface treatment;Surface treatment - other;Packo Surface Treatment;;;;;+32 51 51 92 84;;;;;www.electropolish.be;;surface@packo.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_051;Steel;Steel - Semi-finished products;Perfox;Adriaan Tripweg 13;NL-9641 KN Veendam;NL 8187 68 769 B01;Dave Van Vliet;+31 598 66 66 40;d.vanvliet@perfox.com;;;;www.perfox.com;;;TOLERANTIES !!!!;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_052;Glass;Glass - Mounting material;Pieterman-glastechniek;Industrieweg 111;B-3583 Beringen;BE 0433 336 612 ;Jacqueline Dalemans;+32 11 42 17 75;j.dalemans@pgv-be.com;;;;www.webshop.pieterman-glastechniek.be;;info@pgv-be.com;Aankoop glastoestel;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_053;Lighting;Lighting - Led fixtures;Piscaer;Battelsesteenweg 451;B-2800 Mechelen;BE 0411 641 472;Elien Pasteels;+32 15 29 45 61;elien.pasteels@piscaer.be;;;;www.piscaer.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_054;Plastic processing;Plastic processing - CNC turning & milling;Plastiservice;Wijnegembaan 2;B-2900 Schoten;BE 0776 506 972;;+32 89 81 07 77;;;;;www.plastiservice.com;;plasti.ch@plastiservice.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_055;Metal processing;Metal processing - Bending Tubes & pipes;Polytec Group;;;;Nathalie Peeters;+32 3 680 18 24;nathalie.peeters@polytec-group.com;;;;www.polytec-group.com;;info@polytec-group.com;Fietsbeugels;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_056;Plastic processing;Plastic processing - other;Pyrasied;Aldebaranweg 3;NL-8938 BD Leeuwarden;NL 8139 40 709 B01;Michel Friso;+31 5 87 67 61 01;michel@pyrasied.nl;;;;www.pyrasied.nl;;contact@pyrasied.com;Goedkoop (Tecno lichtcover Fuerto UV Pyraled5 mat/satijn);;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_057;Steel;Steel - Semi-finished products;Raynaud;;;;Jo Dubois;+32 3 827 38 17;;;;;www.raynaud.be;;info@raynaud.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_058;Polycarbonate;Polycarbonate - straight;Rodeca;;;;Alain Kockelkoren;;alain@rodeca.be;;;;www.rodeca.be;;;Rodeca platen;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_059;Metal processing;Metal processing - Tube laser;Saey;Industrielaan 4;B-8501 Kortrijk-Heule;BE 0448 146 433;Nancy Vermote;+32 56 36 14 65 ;nancy.Vermote@saey.com;Fernand Moerman;+32 56 36 14 08 ;Fernand.Moerman@saey.com;www.saey.com;;info@saeysteel.com;Accountmanager Frank Van Der Auwera - Frank.vanderaudera@saey.com - +32 496 27 42 01;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_060;Polycarbonate;Polycarbonate - straight;Skylux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_061;Glass;Glass - Panels & other;Solver solutions;Tollaan 93;B-1932 Sint-Stevens-Woluwe;BE 0536 607 562;Verantwoordelijke verkoop;+32 2 808 77 65;purchase@solver-solutions.com;;;;www.solver-solutions.com;;info@solver-solutions.com;Bestuurder Gerhard Luchtigheid - gerhard.lugtigheid@solver-solutions.be - +32 479 64 74 18;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_062;Metal processing;Metal processing - Bending Sheetmetal;SPCM;Ambachtstraat 9;B-2322 Hoogstraten;BE 0463 335 643;Andy De ruyter;+32 3 340 26 58;Aderuyter@spcm.be;;;;www.spcm.be;;info@spcm.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_063;Alu;Alu - Semi-finished products;Sprangers nv;Biezenstraat 22;B-2340 Beerse;BE 0417 670 023;Luc Van De Walle;+32 476 85 95 94;Luc.vandewalle@sprangers.be;Caroline Van Gorp (sales2);+32 3 315 77 68;caroline@sprangers.be;www.sprangers.be;+32 3 315 77 68;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_064;Glass;Glass - Panels & other;Sprimo Glass;Rue de Louveigné 94-96; 4140 Sprimont;BE 0414 922 943;Sam van der donckt;+32 499 14 64 41;sam.vanderdonckt@sprimoglass.com;Frédéric Delcourt;;Tender@sprimoglass.be;www.sprimoglass.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_065;Glass;Glass - other;Sprimo Install;Hellebeemden 9a;B-3500 Hasselt ;BE 0757 827 742;Johan Vandeweyer;+32 478 50 43 34;Johan.Vandeweyer@sprimoinstall.com;Davey Vliegen (PM);+32 478 36 55 02;Davey.Vliegen@sprimoinstall.com;www.sprimoinstall.be;+32 11 59 05 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_066;Engineering;Engineering - stability study;Stabilos;Kijkuitstraat 117;B-2920 Kalmthout;BE 0834 445 864;;;;;;;www.stabilos.be;+32 477 13 53 22;info@stabilos.be;Contacten Bruno Claes;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_067;Glass;Glass - Panels & other;Starconstruct;Paalstraat 1;B-9700 Oudenaarde;BE 0434 053 026;Joris De Bock;+32 478 83 18 09;joris.debock@starconstruct.be;Younis Zoalfkar (Commercieel);+32 55 55 10 90;younis.zoalfkar@starconstruct.be;www.starconstruct.be;;info@starconstruct.be;Admin Myriam Van Eecke - Myriam.vaneecke@starconstruct.be;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_068;Furniture;Furniture - Seating;Tecno Spa;Milano 28;IT-22066 Mariano Comense CO;IT 0249 211 0248;Gabriella Cattaneo;+39 03 17 53 81;gabriella.cattaneo@tecnospa.com;Marco Colombo;;marco.colombo@tecnospa.com;www.tecnospa.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_069;Metal processing;Metal processing - Bending Sheetmetal;TESTAS;Jacobsveldweg 12;B-2160 Wommelgem;BE 0413 723 905;Katrien Merckx;+32 3 355 20 60;Katrien.Merckx@testas.be;;;;www.testas.be;;info@testas.be;Algemene zaken - Gilles.heymans@testas.be;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_070;Steel;Steel - Inox;ThyssenKrupp;Brandstraat 11;B-9160 Lokeren;BE 0401 921 577;Christopphe Cobbaut;+32 9 349 36 35;christophe.cobbaut@thyssenkrupp-materials.com;;;;www.thyssenkrupp-materials.be;;info.mx.be@thyssenkrupp-materials.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_071;Wood;Wood - planks & beams;Tilborghs;Onderzeel 7;B-2920 Kalmthout;BE 0474 131 842;Jan Geysen;+32 3 620 16 03;Jan@tilborghshout.be;;;;www.tilborghshout.be;;info@tilborghshout.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_072;Metal processing;Metal processing - Turning & Milling;Uydens Paul Metaalbewerking bv;Engelakker 4;B-2960 Brecht;BE 0462 134 922;Paul Uydens;+32 3 313 63 64;info@uydens-paul.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_073;Glass;Glass - Mounting material;v3s-glass-systems;;;;;+32 53 80 87 77;;;;;www.v3s-glass-systems.be;;info@v3s.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_074;Tools;Tools - Drilling;Vamatec;De Tonne 89;B-9800 Deinze;BE 0449 411 292;Claude Van Maele;+32 496 26 05 35;claude@vamatec.be;;;;www.vamatec.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_075;Surface treatment;Surface treatment - Galvanisation & coating;Van Gils Coating - Beringen/Maasmechelen;Lochtemanweg 23;B-3580 Beringen;BE 0450 121 768;Jocelyne Vangeneugden;+32 11 45 37 90;Beringen@vangilscoating.be;Geert Thijs (kwaliteit & offertes);+32 472 59 00 85;Geert@vangilscoating.be;www.metalcoating.be;+32 11 45 37 90;beringen@vangilscoating.be;Plant Managers Koen de Weert - Koen@vangilscoating.be - +32 476 37 59 17;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_076;Surface treatment;Surface treatment - Metallisation & coating;Van Gils Coating - Wuustwezel;Bredabaan 55a;B-2900 Wuustwezel;BE 0458 366 273;Bart Van Gils;+32 3 669 74 03;wuustwezel@vangilscoating.be;;;;www.vangilsgroup.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_077;Steel;Steel - Blank steel;Van Leeuwen;Lindtsedijk 120;NL-3336 LE Zwijndrecht;NL 0035 50 527 B01;Johan;+32 2 255 41 11;Johan.VandeMaele@vanleeuwen.be;;;;www.vanleeuwen.be;;www.vanleeuwen.com;Buis Tecno bestelling (ook wel sales@vanleeuwen.nl);;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_078;Polycarbonate;Polycarbonate - straight;Van Wauwe;;;;Tony Hofkens;+32 3 326 75 70;verkoop@vanwauwe.com;;;;www.vanwauwe.com;;;Meerwandige golfplaten;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_079;End caps;End caps - Caps, buses, other;Verpas;Dukaat 10;NL-5751 PW Deurne;NL 8195 35 722 B01;Marco Schuurmans;+31 493 32 20 68;verkoop@verpas.nl;;;;www.verpas.nl;;info@verpas.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_080;Fasteners;Fasteners - Plastic;Vico Parts;;;;Hannelore Foré;+32 477 93 45 45;;;;;www.vicoparts.be;;info@vicoparts.be;Kunststof doppen;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_081;Polycarbonate;Polycarbonate - All;Vink;Industriepark B7;B-2220 Heist-op-den-Berg;BE 0758 475 860;Jo Ceulemans;+32 15 25 97 04;Jo.ceulemans@vink.Be;Karine Lambaerts (Sales2);+32 15 25 98 44;karine.lambaerts@vink.be;www.vink.be;;;Gallina - recht en gebogen;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_082;Metal processing;Metal processing - Bending Sheetmetal;Vytech;Nijverheidsstraat 18;B-2570 Duffel;BE 0461 173 830;Didier Bogaerts;+32 3 488 56 01;aanvragenlaser@vytech.be;Peter Klijn;;;www.vytech.be;+32 34 88 56 01;duffel@vytech.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_083;Engineering;Engineering - stability study;WB&E;Huinegem 100;B-1730 Asse;BE 0420 330 593;Philip Willems;+32 468 15 18 41;Philip@willems-engineering.be;;;;www.willems-engineering.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_084;Surface treatment;Surface treatment - Galvanisation;Wecoat;Industriewweg 35;NL-6039 AP Stramproy;NL 0021 24 300 B01;Frank Meyers;+32 478 80 88 40;Frank.Meyers@wecoat.net;Rob Drijkoningen;+31 495 56 66 89 ;Rob.Drijkoningen@wecoat.net;www.wecoat.net;+31 495 56 66 66;;Galvaniseren & coaten Limburg (minder gebruikt);;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_085;Welding;Welding - Tables & other;Welda;Antwerpsesteenweg 949;B-9041 Gent;BE 0400 119 258;Dirk Antonis;+32 497 47 74 14;dirk.antonis@welda.be;;;;www.welda.be;;info@welda.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_086;Welding;Welding - Gas bottles;Weld-toorts;Nijverheidsstraat 56;B-2570 Duffel;BE 0461 605 479;Geert Vercammen;+32 3 491 90 90;geert.vercammen@weld-toorts.be;;;;www.weld-toorts.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_087;Transport;Transport - other;Wim Verhuur;Fortsesteenweg 44;B-2860 Sint-Katelijne-Waver;BE 0476 867 242;Annemie Meert;+32  15 63 63 63;info@wimverhuur.be;;;;www.wimverhuur.be;;info@wimverhuur.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_088;Metal processing;Metal processing - 2D / 3D laser & bending;Wuyts;Krekelenberg 86;B-2980 Zoersel;BE 1004 023 343;Simon Driessen;+32 3 485 57 11;SimonD@productora.eu;;;;www.wuytsinternational.com;;info@wuytsinternational.com;Herbert Stockbroekx - Herbert@wuytsinternational.com;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_089;Surface treatment;Surface treatment - Galvanisation;Zinq (Antwerpen);Toekomstlaan 18;B-2900 Schoten ;BE 0455 527 440;Shauny Taels;+32 476 67 99 90;Shauny.Taels@zinq.be;Danny Peeters;+32 471 51 49 52 ;Danny.Peeters@zinq.be;www.Zinq.com;+32 3 647 02 55;antwerpen@zinq.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_090;Other;Other;Epsilon nv;Industrieterrein Kanaal Noord 1159;B-3960 Bree;BE 0444 856 351;Kevin Rutten;+32 89 71 07 70;kevin.rutten@epsiloncities.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_091;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
